# DISTANCE:     AVE_GOFR:        ERROR:
     2.52649    0.882722  0.00564931
     2.55214    0.882915  0.00399394
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0011336 0.000301282
    0.910562   0.0271478  0.00122425
    0.936212    0.172925  0.00438608
    0.961861    0.570028  0.00930874
    0.987511     1.19625   0.0104077
     1.01316     1.84345   0.0115072
     1.03881     2.27854  0.00861364
     1.06446     2.48434   0.0154795
     1.09011     2.48985   0.0153052
     1.11576      2.3364   0.0124995
     1.14141     2.14523   0.0179238
     1.16706     1.90453   0.0140992
     1.19271     1.71471    0.010674
     1.21836     1.50965  0.00938463
     1.24401     1.33721   0.0074858
     1.26966     1.22104   0.0092517
     1.29531     1.10191  0.00800584
     1.32096    0.993011  0.00609705
     1.34661    0.920881  0.00647844
     1.37226    0.847328  0.00770787
     1.39791     0.78822  0.00531766
     1.42355    0.751616   0.0063516
      1.4492     0.73251  0.00885285
     1.47485    0.711702  0.00478027
      1.5005    0.687127  0.00769675
     1.52615     0.66974  0.00706627
      1.5518     0.66136  0.00499445
     1.57745    0.666257   0.0049169
      1.6031    0.680207  0.00443799
     1.62875    0.684226  0.00314899
      1.6544    0.687305  0.00685669
     1.68005    0.711549  0.00495916
      1.7057     0.74223  0.00467582
     1.73135    0.771056  0.00659591
       1.757     0.80856  0.00412924
     1.78265    0.842132  0.00475788
      1.8083    0.870978  0.00464426
     1.83395    0.923286  0.00692666
      1.8596    0.977567  0.00569581
     1.88525      1.0135  0.00642379
      1.9109     1.04488  0.00543307
     1.93655     1.08197  0.00396467
      1.9622     1.12504  0.00535813
     1.98785      1.1485  0.00358802
      2.0135     1.16534  0.00489336
     2.03915     1.18857   0.0102788
      2.0648     1.19902  0.00779909
     2.09045     1.20761  0.00358116
      2.1161     1.19311  0.00642401
     2.14174     1.17124  0.00544239
     2.16739     1.15293  0.00638771
     2.19304     1.13283  0.00590998
     2.21869     1.11238  0.00876965
     2.24434     1.07759  0.00595652
     2.26999     1.05221  0.00539385
     2.29564      1.0232  0.00563054
     2.32129     1.00746  0.00447923
     2.34694    0.977184  0.00408495
     2.37259    0.955467  0.00465143
     2.39824     0.93014  0.00470025
     2.42389     0.90848  0.00453031
     2.44954    0.895169  0.00459212
     2.47519    0.884353  0.00456449
     2.50084    0.885225   0.0042963
     2.52649    0.883392  0.00506119
     2.55214    0.883022   0.0035516
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00113162  0.00027116
    0.910562   0.0267744  0.00115736
    0.936212     0.17329  0.00396256
    0.961861     0.57165  0.00851798
    0.987511     1.19603  0.00936924
     1.01316     1.84817   0.0112858
     1.03881     2.28212  0.00846664
     1.06446     2.49053   0.0151207
     1.09011     2.48643   0.0141534
     1.11576     2.33257   0.0118229
     1.14141     2.14219    0.016388
     1.16706     1.90395   0.0127012
     1.19271     1.71126   0.0101507
     1.21836     1.51192  0.00871518
     1.24401     1.33729  0.00673763
     1.26966     1.22375  0.00871685
     1.29531     1.10156  0.00721293
     1.32096    0.990536  0.00596868
     1.34661    0.918903  0.00612529
     1.37226    0.846995  0.00694427
     1.39791     0.78752  0.00483176
     1.42355    0.750349  0.00584136
      1.4492    0.732717  0.00796999
     1.47485    0.709952  0.00461135
      1.5005     0.68762  0.00694283
     1.52615    0.670796  0.00643795
      1.5518    0.664287  0.00528354
     1.57745    0.669405  0.00533872
      1.6031    0.679319  0.00408216
     1.62875    0.683242  0.00298386
      1.6544    0.691836  0.00752019
     1.68005    0.713242  0.00474353
      1.7057    0.743634  0.00441412
     1.73135    0.771457  0.00594852
       1.757    0.809654  0.00385845
